snapshot_time_utc,year,week,game_id,start_date,home_team,away_team,provider,spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
2026-08-12T05:15:50+00:00,2026,1,401858437,2026-09-06T20:00:00.000Z,Washington,Washington State,DraftKings,-21.5,-21.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858437,2026-09-06T20:00:00.000Z,Washington,Washington State,Bovada,-23,-21.5,50.5,50.5,-2200,1000
2026-08-12T11:38:50+00:00,2026,1,401856766,2026-08-29T16:00:00.000Z,TCU,North Carolina,Bovada,-7.5,-7.5,47.5,50.5,-235,195
2026-08-12T11:38:50+00:00,2026,1,401856766,2026-08-29T16:00:00.000Z,TCU,North Carolina,DraftKings,-6.5,,49.5,,-250,205
2026-08-12T11:38:50+00:00,2026,1,401856772,2026-09-05T19:45:00.000Z,Tulsa,Oklahoma State,DraftKings,11.5,11.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401856772,2026-09-05T19:45:00.000Z,Tulsa,Oklahoma State,Bovada,13.5,11.5,61,61.5,390,-550
2026-08-12T11:38:50+00:00,2026,1,401856777,2026-09-05T19:30:00.000Z,Cincinnati,Boston College,DraftKings,-9.5,-9.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401856777,2026-09-05T19:30:00.000Z,Cincinnati,Boston College,Bovada,-7.5,-9.5,54.5,54.5,-270,220
2026-08-12T11:38:50+00:00,2026,1,401856778,2026-09-05T16:00:00.000Z,Houston,Oregon State,Bovada,-20,-18.5,51,51.5,-1300,725
2026-08-12T11:38:50+00:00,2026,1,401856778,2026-09-05T16:00:00.000Z,Houston,Oregon State,DraftKings,-18.5,-18.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858209,2026-09-05T19:30:00.000Z,Duke,Tulane,DraftKings,-8.5,-8.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858209,2026-09-05T19:30:00.000Z,Duke,Tulane,Bovada,-9,-8.5,52,53.5,-480,350
2026-08-12T11:38:50+00:00,2026,1,401858210,2026-09-06T02:30:00.000Z,California,UCLA,Bovada,1.5,-3.5,54.5,53.5,-115,-105
2026-08-12T11:38:50+00:00,2026,1,401858210,2026-09-06T02:30:00.000Z,California,UCLA,DraftKings,-1.5,-1.5,53.5,,,
2026-08-12T11:38:50+00:00,2026,1,401858424,2026-09-04T01:00:00.000Z,Illinois,UAB,Bovada,-27.5,-27.5,57,56.5,-100000,2000
2026-08-12T11:38:50+00:00,2026,1,401858424,2026-09-04T01:00:00.000Z,Illinois,UAB,DraftKings,-27.5,-27.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858425,2026-09-05T16:00:00.000Z,Indiana,North Texas,DraftKings,-40.5,-40.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858425,2026-09-05T16:00:00.000Z,Indiana,North Texas,Bovada,-41,-40.5,55.5,55.5,,
2026-08-12T11:38:50+00:00,2026,1,401858426,2026-09-05T20:15:00.000Z,Iowa,Northern Illinois,Bovada,-31,-29.5,45.5,43.5,-100000,2500
2026-08-12T11:38:50+00:00,2026,1,401858426,2026-09-05T20:15:00.000Z,Iowa,Northern Illinois,DraftKings,-29.5,-29.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858428,2026-09-05T23:30:00.000Z,Michigan,Western Michigan,DraftKings,-26.5,-26.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858428,2026-09-05T23:30:00.000Z,Michigan,Western Michigan,Bovada,-26.5,-26.5,47.5,47.5,-100000,2200
2026-08-12T11:38:50+00:00,2026,1,401858429,2026-09-05T00:00:00.000Z,Michigan State,Toledo,DraftKings,-10.5,-10.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858429,2026-09-05T00:00:00.000Z,Michigan State,Toledo,Bovada,-10.5,-10.5,49.5,49.5,-410,305
2026-08-12T11:38:50+00:00,2026,1,401858430,2026-09-05T16:00:00.000Z,Nebraska,Ohio,DraftKings,-23.5,-23.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858430,2026-09-05T16:00:00.000Z,Nebraska,Ohio,Bovada,-24,-23.5,47.5,47.5,-4000,1200
2026-08-12T11:38:50+00:00,2026,1,401858432,2026-09-05T16:30:00.000Z,Ohio State,Ball State,DraftKings,-49.5,-49.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858432,2026-09-05T16:30:00.000Z,Ohio State,Ball State,Bovada,-51,-50.5,56.5,56.5,,
2026-08-12T11:38:50+00:00,2026,1,401858433,2026-09-05T19:30:00.000Z,Oregon,Boise State,DraftKings,-24.5,-24.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401858433,2026-09-05T19:30:00.000Z,Oregon,Boise State,Bovada,-24.5,-24.5,52,53.5,-10000,1600
2026-08-12T11:38:50+00:00,2026,1,401858434,2026-09-05T19:30:00.000Z,Penn State,Marshall,Bovada,-24.5,-23.5,54.5,54.5,-3300,1100
2026-08-12T11:38:50+00:00,2026,1,401858434,2026-09-05T19:30:00.000Z,Penn State,Marshall,DraftKings,-23.5,-23.5,,,,
2026-08-12T11:38:50+00:00,2026,1,401862699,2026-09-05T23:00:00.000Z,South Florida,Florida International,Bovada,-12.5,-12.5,55,54.5,-460,340
2026-08-12T11:38:50+00:00,2026,1,401862699,2026-09-05T23:00:00.000Z,South Florida,Florida International,DraftKings,-12.5,-12.5,,,,
