season,team,plays_pg
2024,Navy,59.0
2024,NC State,61.15384615384615
2024,Nebraska,66.15384615384616
2024,Nevada,63.61538461538461
2024,New Mexico,64.16666666666667
2024,New Mexico State,61.833333333333336
2024,North Carolina,68.07692307692308
2024,Northern Illinois,69.92307692307692
2024,North Texas,72.38461538461539
2024,Northwestern,62.0
2024,Notre Dame,62.8125
2024,Ohio,64.92857142857143
2024,Ohio State,61.8125
2024,Oklahoma,67.84615384615384
2024,Oklahoma State,66.66666666666667
2024,Old Dominion,66.58333333333333
2024,Ole Miss,71.46153846153847
2024,Oregon,67.78571428571429
2024,Oregon State,69.83333333333333
2024,Penn State,65.5
2024,Pittsburgh,69.76923076923077
2024,Purdue,56.0
2024,Rice,70.0
2024,Rutgers,69.23076923076923
2024,Sam Houston,62.92307692307692
2024,San Diego State,66.16666666666667
2024,San José State,66.3076923076923
2024,SMU,68.78571428571429
2024,South Alabama,63.30769230769231
2024,South Carolina,70.53846153846153
2024,Southern Miss,59.916666666666664
2024,South Florida,71.38461538461539
2024,Stanford,67.0
2024,Syracuse,76.3076923076923
2024,TCU,67.53846153846153
2024,Temple,65.58333333333333
2024,Tennessee,73.84615384615384
2024,Texas,69.75
2024,Texas A&M,66.6923076923077
2024,Texas State,72.84615384615384
2024,Texas Tech,76.84615384615384
2024,Toledo,66.46153846153847
2024,Troy,63.75
2024,Tulane,63.42857142857143
2024,Tulsa,73.08333333333333
2024,UAB,71.5
2024,UCF,68.16666666666667
2024,UCLA,61.166666666666664
2024,UConn,68.6923076923077
2024,UL Monroe,57.833333333333336
2024,UNLV,65.5
2024,USC,69.07692307692308
2024,Utah,63.0
2024,Utah State,68.91666666666667
2024,UTEP,66.33333333333333
2024,UTSA,76.0
2024,Vanderbilt,59.38461538461539
2024,Virginia,69.16666666666667
2024,Virginia Tech,62.61538461538461
2024,Wake Forest,69.83333333333333
2024,Washington,63.69230769230769
2024,Washington State,65.6923076923077
2024,Western Kentucky,64.5
2024,Western Michigan,55.92307692307692
2024,West Virginia,68.6923076923077
2024,Wisconsin,64.91666666666667
2024,Wyoming,65.83333333333333
2025,Air Force,68.58333333333333
2025,Akron,70.66666666666667
2025,Alabama,66.73333333333333
2025,App State,71.53846153846153
2025,Arizona,69.53846153846153
2025,Arizona State,72.84615384615384
2025,Arkansas,65.75
2025,Arkansas State,75.46153846153847
2025,Army,66.84615384615384
2025,Auburn,68.91666666666667
2025,Ball State,61.333333333333336
2025,Baylor,76.91666666666667
2025,Boise State,73.71428571428571
2025,Boston College,70.75
2025,Bowling Green,63.75
2025,Buffalo,69.58333333333333
2025,BYU,67.92857142857143
2025,California,71.0
2025,Central Michigan,62.07692307692308
2025,Charlotte,60.666666666666664
2025,Cincinnati,60.30769230769231
2025,Clemson,68.76923076923077
2025,Coastal Carolina,66.84615384615384
2025,Colorado,66.33333333333333
2025,Colorado State,63.416666666666664
2025,Delaware,73.61538461538461
2025,Duke,69.0
2025,East Carolina,77.61538461538461
2025,Eastern Michigan,68.33333333333333
2025,Florida,62.416666666666664
2025,Florida Atlantic,76.33333333333333
2025,Florida International,70.53846153846153
2025,Florida State,70.33333333333333
2025,Fresno State,66.92307692307692
2025,Georgia,71.92857142857143
2025,Georgia Southern,69.23076923076923
2025,Georgia State,71.41666666666667
2025,Georgia Tech,65.84615384615384
2025,Hawai'i,70.46153846153847
2025,Houston,73.84615384615384
2025,Illinois,64.23076923076923
2025,Indiana,67.6875
2025,Iowa,61.92307692307692
2025,Iowa State,68.58333333333333
2025,Jacksonville State,69.28571428571429
2025,James Madison,71.07142857142857
2025,Kansas,65.58333333333333
2025,Kansas State,63.583333333333336
2025,Kennesaw State,70.0
2025,Kent State,57.666666666666664
2025,Kentucky,67.25
2025,Liberty,67.41666666666667
2025,Louisiana,64.53846153846153
2025,Louisiana Tech,66.76923076923077
2025,Louisville,66.07692307692308
2025,LSU,64.0
2025,Marshall,71.83333333333333
2025,Maryland,66.58333333333333
2025,Massachusetts,66.25
2025,Memphis,69.15384615384616
2025,Miami,67.25
2025,Miami (OH),61.214285714285715
2025,Michigan,65.76923076923077
2025,Michigan State,65.16666666666667
2025,Middle Tennessee,69.83333333333333
2025,Minnesota,60.76923076923077
2025,Mississippi State,72.38461538461539
2025,Missouri,71.53846153846153
2025,Missouri State,66.07692307692308
2025,Navy,64.15384615384616
2025,NC State,64.61538461538461
2025,Nebraska,64.76923076923077
2025,Nevada,60.666666666666664
2025,New Mexico,65.38461538461539
2025,New Mexico State,72.75
2025,North Carolina,59.083333333333336
2025,Northern Illinois,62.166666666666664
2025,North Texas,72.5
2025,Northwestern,65.07692307692308
2025,Notre Dame,63.916666666666664
2025,Ohio,68.0
2025,Ohio State,63.285714285714285
2025,Oklahoma,67.46153846153847
2025,Oklahoma State,65.58333333333333
2025,Old Dominion,68.92307692307692
2025,Ole Miss,73.6
2025,Oregon,65.53333333333333
2025,Oregon State,71.58333333333333
2025,Penn State,62.38461538461539
2025,Pittsburgh,68.76923076923077
2025,Purdue,65.41666666666667
2025,Rice,65.07692307692308
2025,Rutgers,72.75
2025,Sam Houston,63.833333333333336
2025,San Diego State,66.46153846153847
2025,San José State,67.83333333333333
2025,SMU,66.23076923076923
2025,South Alabama,71.91666666666667
2025,South Carolina,62.833333333333336
2025,Southern Miss,69.76923076923077
2025,South Florida,71.0
2025,Stanford,66.25
2025,Syracuse,70.25
2025,TCU,70.0
2025,Temple,59.416666666666664
2025,Tennessee,72.38461538461539
2025,Texas,64.84615384615384
2025,Texas A&M,69.76923076923077
2025,Texas State,74.38461538461539
2025,Texas Tech,74.35714285714286
2025,Toledo,67.3076923076923
2025,Troy,67.14285714285714
2025,Tulane,67.71428571428571
2025,Tulsa,78.66666666666667
2025,UAB,68.83333333333333
2025,UCF,66.16666666666667
2025,UCLA,61.416666666666664
2025,UConn,66.23076923076923
2025,UL Monroe,61.5
2025,UNLV,66.21428571428571
2025,USC,64.76923076923077
2025,Utah,73.15384615384616
2025,Utah State,67.38461538461539
2025,UTEP,65.75
2025,UTSA,67.61538461538461
2025,Vanderbilt,62.38461538461539
2025,Virginia,74.92857142857143
2025,Virginia Tech,64.0
2025,Wake Forest,66.15384615384616
2025,Washington,63.53846153846154
2025,Washington State,66.15384615384616
2025,Western Kentucky,70.46153846153847
2025,Western Michigan,68.42857142857143
2025,West Virginia,70.83333333333333
2025,Wisconsin,58.5
2025,Wyoming,67.58333333333333
